alpha,status,iterations,f,grad_norm
0.001,max_iter,20000,1.9384915498019537e-08,0.00012444513746123631
0.005,max_iter,20000,0.7880389436585089,20.025047130003742
0.01,diverged,6,1.8238570144304249e+105,1.1163569543664587e+80
0.05,diverged,4,6.712038191221297e+57,2.966202561028892e+44
