method,iterations,runtime_seconds,final_f,final_grad_norm,status,success
Gradient Descent,13757,0.21759904199279845,6.120021876604655e-13,9.833370994538868e-07,converged,True
Newton,22,0.0002987500047311187,3.743975643139474e-21,4.473328123560842e-10,converged,True
SciPy BFGS,33,0.0015464999596588314,8.983454121853223e-19,2.5888035940443672e-08,converged,True
