kappa,gd_iters,newton_iters,gd_grad_norm,newton_grad_norm
1.0,2,2,1.1749496091904413e-15,6.661338147750939e-16
10.0,56,2,7.662893066883722e-07,4.440892098500626e-16
100.0,680,2,7.634242702930978e-07,7.105427357601002e-15
1000.0,6411,2,9.981402521496876e-07,7.815970093361102e-14
